package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
@ui-ux-gang/devextreme-rpk,24.1.7,medium,1000,2025-09-15,false,Compromised package: @ui-ux-gang/devextreme-rpk,postinstall script,3
@yoobic/design-system,6.5.17,medium,1000,2025-09-15,false,Compromised package: @yoobic/design-system,postinstall script,3
@yoobic/jpeg-camera-es6,1.0.13,medium,1000,2025-09-15,false,Compromised package: @yoobic/jpeg-camera-es6,postinstall script,3
@yoobic/yobi,8.7.53,medium,1000,2025-09-15,false,Compromised package: @yoobic/yobi,postinstall script,3
ace-colorpicker-rpk,0.0.14,medium,1000,2025-09-15,false,Compromised package: ace-colorpicker-rpk,postinstall script,3
airchief,0.3.1,medium,1000,2025-09-15,false,Compromised package: airchief,postinstall script,3
airpilot,0.8.8,medium,1000,2025-09-15,false,Compromised package: airpilot,postinstall script,3
angulartics2,"14.1.2, 14.1.1",critical,200000,2025-09-15,false,Compromised package: angulartics2,postinstall script,1
browser-webdriver-downloader,3.0.8,medium,1000,2025-09-15,false,Compromised package: browser-webdriver-downloader,postinstall script,3
capacitor-notificationhandler,"0.0.2, 0.0.3",medium,1000,2025-09-15,false,Compromised package: capacitor-notificationhandler,postinstall script,3
capacitor-plugin-healthapp,"0.0.2, 0.0.3",medium,1000,2025-09-15,false,Compromised package: capacitor-plugin-healthapp,postinstall script,3
capacitor-plugin-ihealth,"1.1.8, 1.1.9",medium,1000,2025-09-15,false,Compromised package: capacitor-plugin-ihealth,postinstall script,3
capacitor-plugin-vonage,"1.0.2, 1.0.3",medium,1000,2025-09-15,false,Compromised package: capacitor-plugin-vonage,postinstall script,3
capacitorandroidpermissions,"0.0.4, 0.0.5",medium,1000,2025-09-15,false,Compromised package: capacitorandroidpermissions,postinstall script,3
config-cordova,0.8.5,medium,1000,2025-09-15,false,Compromised package: config-cordova,postinstall script,3
cordova-plugin-voxeet2,1.0.24,medium,1000,2025-09-15,false,Compromised package: cordova-plugin-voxeet2,postinstall script,3
cordova-voxeet,1.0.32,medium,1000,2025-09-15,false,Compromised package: cordova-voxeet,postinstall script,3
create-hest-app,0.1.9,medium,1000,2025-09-15,false,Compromised package: create-hest-app,postinstall script,3
db-evo,"1.1.4, 1.1.5",medium,1000,2025-09-15,false,Compromised package: db-evo,postinstall script,3
devextreme-angular-rpk,21.2.8,medium,1000,2025-09-15,false,Compromised package: devextreme-angular-rpk,postinstall script,3
devextreme-rpk,21.2.8,medium,1000,2025-09-15,false,Compromised package: devextreme-rpk,postinstall script,3
ember-browser-services,"5.0.2, 5.0.3",high,10000,2025-09-15,false,Compromised package: ember-browser-services,postinstall script,2
ember-headless-form,"1.1.2, 1.1.3",high,10000,2025-09-15,false,Compromised package: ember-headless-form,postinstall script,2
ember-headless-form-yup,1.0.1,high,10000,2025-09-15,false,Compromised package: ember-headless-form-yup,postinstall script,2
ember-headless-table,"2.1.5, 2.1.6",high,10000,2025-09-15,false,Compromised package: ember-headless-table,postinstall script,2
ember-url-hash-polyfill,"1.0.12, 1.0.13",high,10000,2025-09-15,false,Compromised package: ember-url-hash-polyfill,postinstall script,2
ember-velcro,"2.2.1, 2.2.2",high,10000,2025-09-15,false,Compromised package: ember-velcro,postinstall script,2
encounter-playground,"0.0.4, 0.0.5, 0.0.2, 0.0.3",medium,1000,2025-09-15,false,Compromised package: encounter-playground,postinstall script,3
eslint-config-crowdstrike,"11.0.2, 11.0.3",medium,1000,2025-09-15,false,Compromised package: eslint-config-crowdstrike,postinstall script,3
